,Borough,Block,Lot,BIN, Building,Agency,2010 Score *,2010Source EUI (kBtu/ft²)*,2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*,BBL
943,2.0,3081.0,26.0,2012359.0,X057,DOE,28,149.3,6,46,127.1,5.4,2030810026
944,2.0,3085.0,1.0,2012409.0,"X032 within (X032, X832)",DOE,26,159.2,7.9,56,128.5,4.9,2030850001
945,2.0,3092.0,14.0,2012620.0,X092,DOE,60,105.5,4.1,71,108.7,4.6,2030920014
946,2.0,3100.0,14.0,2098380.0,X034,DOE,75,112.5,3.6,77,101.7,3.5,2031000014
947,2.0,3104.0,7.0,2012887.0,X660,DOE,82,96.1,5,91,105.4,5.9,2031040007
948,2.0,3109.0,1.0,2012957.0,"X129 within (X129, X234, X941)",DOE,11,143.7,6.2,22,123.6,6.2,2031090001
949,2.0,3109.0,1.0,2012957.0,"X234 within (X129, X234, X941)",DOE,11,143.7,6.2,22,123.6,6.2,2031090001
950,2.0,3114.0,52.0,2013047.0,X864,DOE,35,181.5,4.7,55,170.9,4.5,2031140052
951,2.0,3115.0,21.0,2086808.0,X205,DOE,23,129.6,6.3,93,99.5,4.8,2031150021
952,2.0,3123.0,3.0,2013142.0,"X067 within (X067, X967)",DOE,51,108.6,5.3,76,110.1,5.6,2031230003
953,2.0,3142.0,48.0,2013297.0,"X163 within (X163, X933)",DOE,13,249.7,10.2,40,241,9.6,2031420048
954,2.0,3143.0,43.0,2013307.0,X137,DOE,68,143.1,5.3,66,140.1,5,2031430043
955,2.0,3146.0,72.0,2103868.0,X209,DOE,57,171,5.6,61,163.4,5.5,2031460072
956,2.0,3150.0,10.0,2013561.0,"X009 within (X009, X930)",DOE,47,91,4.7,72,118.9,6.4,2031500010
957,2.0,3150.0,10.0,2013561.0,"X930 within (X009, X930)",DOE,47,91,4.7,72,118.9,6.4,2031500010
958,2.0,3168.0,27.0,2013830.0,X843,DOE,68,114.8,4.5,85,110.9,4.3,2031680027
959,2.0,3170.0,1.0,2013849.0,X079,DOE,48,130.7,5.3,46,131.5,5.5,2031700001
960,2.0,3172.0,46.0,2013899.0,X115,DOE,1,186.3,9.8,31,155,5.6,2031720046
961,2.0,3178.0,14.0,2103867.0,X279,DOE,68,125.8,4.6,55,176.1,6,2031780014
962,2.0,3186.0,49.0,2014062.0,X859,DOE,81,99,2.9,96,95.4,2.9,2031860049
963,2.0,3188.0,8.0,2014098.0,X939,DOE,70,109.7,4.4,76,117.6,4.7,2031880008
964,2.0,3188.0,20.0,2014099.0,X033,DOE,32,132.2,7.3,88,102.9,5.6,2031880020
965,2.0,3208.0,1.0,2014505.0,"X091 within (X091, X891)",DOE,53,104,5.3,77,106.2,5.6,2032080001
966,2.0,3209.0,1.0,2086823.0,X206,DOE,77,129.3,5.5,80,149.3,7.1,2032090001
967,2.0,3216.0,2.0,2014692.0,X026,DOE,76,124.5,6.4,88,105.1,5,2032160002
968,2.0,3222.0,100.0,2096465.0,X826,DOE,93,58.7,2.2,88,174,6.5,2032220100
969,2.0,3222.0,100.0,2096465.0,X827,DOE,62,73.7,2.2,54,79.3,2.6,2032220100
970,2.0,3224.0,9.0,2096013.0,X015,DOE,6,242.7,7.9,2,275.5,10.2,2032240009
971,2.0,3239.0,41.0,2096486.0,"X122 within (X122, X822)",DOE,69,53.9,2.5,56,97.5,3.9,2032390041
972,2.0,3239.0,41.0,2096486.0,"X822 within (X122, X822)",DOE,69,53.9,2.5,56,97.5,3.9,2032390041
973,2.0,3246.0,2.0,2015222.0,X905,DOE,1,288.2,8.2,1,264.4,7.6,2032460002
974,2.0,3247.0,15.0,2101862.0,X340,DOE,27,210.9,6.3,56,169.6,5.2,2032470015
975,2.0,3247.0,70.0,2100971.0,"X086 within (X086, X868)",DOE,94,60.7,2.3,86,107.8,4.6,2032470070
976,2.0,3247.0,70.0,2015241.0,X430,DOE,27,155.3,5.9,97,104,3.9,2032470070
977,2.0,3247.0,70.0,2100971.0,"X868 within (X086, X868)",DOE,94,60.7,2.3,86,107.8,4.6,2032470070
